2020-08-06 22:35:38 status unpacked base-passwd:amd64 3.5.44
2020-08-06 22:35:38 install bash:amd64 <none> 4.4.18-2ubuntu1
2020-08-06 22:35:38 status half-installed bash:amd64 4.4.18-2ubuntu1
2020-08-06 22:35:38 status unpacked bash:amd64 4.4.18-2ubuntu1
2020-08-06 22:35:38 status unpacked bash:amd64 4.4.18-2ubuntu1
2020-08-06 22:35:38 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2020-08-06 22:35:38 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-08-06 22:35:38 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-08-06 22:35:38 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-08-06 22:35:38 install coreutils:amd64 <none> 8.28-1ubuntu1
2020-08-06 22:35:38 status half-installed coreutils:amd64 8.28-1ubuntu1
2020-08-06 22:35:38 status unpacked coreutils:amd64 8.28-1ubuntu1
2020-08-06 22:35:38 status unpacked coreutils:amd64 8.28-1ubuntu1
2020-08-06 22:35:38 install dash:amd64 <none> 0.5.8-2.10
2020-08-06 22:35:38 status half-installed dash:amd64 0.5.8-2.10
2020-08-06 22:35:38 status unpacked dash:amd64 0.5.8-2.10
2020-08-06 22:35:38 status unpacked dash:amd64 0.5.8-2.10
2020-08-06 22:35:38 upgrade debconf:all 1.5.66 1.5.66
2020-08-06 22:35:38 status half-configured debconf:all 1.5.66
2020-08-06 22:35:38 status unpacked debconf:all 1.5.66
2020-08-06 22:35:38 status half-installed debconf:all 1.5.66
2020-08-06 22:35:39 status half-installed debconf:all 1.5.66
2020-08-06 22:35:39 status unpacked debconf:all 1.5.66
2020-08-06 22:35:39 status unpacked debconf:all 1.5.66
2020-08-06 22:35:39 install debianutils:amd64 <none> 4.8.4
2020-08-06 22:35:39 status half-installed debianutils:amd64 4.8.4
2020-08-06 22:35:39 status unpacked debianutils:amd64 4.8.4
2020-08-06 22:35:39 status unpacked debianutils:amd64 4.8.4
2020-08-06 22:35:39 install diffutils:amd64 <none> 1:3.6-1
2020-08-06 22:35:39 status half-installed diffutils:amd64 1:3.6-1
2020-08-06 22:35:39 status unpacked diffutils:amd64 1:3.6-1
2020-08-06 22:35:39 status unpacked diffutils:amd64 1:3.6-1
2020-08-06 22:35:39 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-08-06 22:35:39 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2020-08-06 22:35:39 status unpacked dpkg:amd64 1.19.0.5ubuntu2
