2020-08-10 18:14:51 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2020-08-10 18:14:51 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2020-08-10 18:14:51 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2020-08-10 18:14:51 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2020-08-10 18:14:52 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2020-08-10 18:14:52 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2020-08-10 18:14:52 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2020-08-10 18:14:52 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:52 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:52 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:52 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2020-08-10 18:14:52 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:52 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:52 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:52 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2020-08-10 18:14:52 install libpcre3:amd64 <none> 2:8.38-3.1
2020-08-10 18:14:52 status half-installed libpcre3:amd64 2:8.38-3.1
2020-08-10 18:14:53 status unpacked libpcre3:amd64 2:8.38-3.1
2020-08-10 18:14:53 status unpacked libpcre3:amd64 2:8.38-3.1
2020-08-10 18:14:53 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2020-08-10 18:14:53 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2020-08-10 18:14:53 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2020-08-10 18:14:53 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2020-08-10 18:14:53 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2020-08-10 18:14:53 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2020-08-10 18:14:53 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2020-08-10 18:14:53 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2020-08-10 18:14:53 install libselinux1:amd64 <none> 2.4-3build2
2020-08-10 18:14:53 status half-installed libselinux1:amd64 2.4-3build2
2020-08-10 18:14:53 status unpacked libselinux1:amd64 2.4-3build2
2020-08-10 18:14:53 status unpacked libselinux1:amd64 2.4-3build2
2020-08-10 18:14:53 install libsemanage-common:all <none> 2.3-1build3
2020-08-10 18:14:53 status half-installed libsemanage-common:all 2.3-1build3
2020-08-10 18:14:53 status unpacked libsemanage-common:all 2.3-1build3
2020-08-10 18:14:53 status unpacked libsemanage-common:all 2.3-1build3
2020-08-10 18:14:53 install libsemanage1:amd64 <none> 2.3-1build3
2020-08-10 18:14:53 status half-installed libsemanage1:amd64 2.3-1build3
2020-08-10 18:14:53 status unpacked libsemanage1:amd64 2.3-1build3
2020-08-10 18:14:53 status unpacked libsemanage1:amd64 2.3-1build3
2020-08-10 18:14:53 install libsepol1:amd64 <none> 2.4-2
2020-08-10 18:14:53 status half-installed libsepol1:amd64 2.4-2
2020-08-10 18:14:53 status unpacked libsepol1:amd64 2.4-2
2020-08-10 18:14:53 status unpacked libsepol1:amd64 2.4-2
2020-08-10 18:14:53 install libsmartcols1:amd64 <none> 2.27.1-6ubuntu3
2020-08-10 18:14:53 status half-installed libsmartcols1:amd64 2.27.1-6ubuntu3
2020-08-10 18:14:53 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2020-08-10 18:14:53 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2020-08-10 18:14:53 install libss2:amd64 <none> 1.42.13-1ubuntu1
2020-08-10 18:14:53 status half-installed libss2:amd64 1.42.13-1ubuntu1
2020-08-10 18:14:53 status unpacked libss2:amd64 1.42.13-1ubuntu1
